"subject","code","link"
"Community Health","CHLH","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CHLH.xml""subject","code","link"
"Campus Honors Program Courses","CHP","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CHP.xml""subject","code","link"
"Curriculum and Instruction","CI","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CI.xml""subject","code","link"
"Committee on Inst Cooperation","CIC","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CIC.xml""subject","code","link"
"Classical Civilization","CLCV","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CLCV.xml""subject","code","link"
"Clinical Sciences and Engineering","CLE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CLE.xml""subject","code","link"
"Communication","CMN","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CMN.xml""subject","code","link"
"Crop Sciences","CPSC","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CPSC.xml""subject","code","link"
"Computer Science","CS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CS.xml""subject","code","link"
"Computational Science and Engineering","CSE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CSE.xml""subject","code","link"
"Creative Writing","CW","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CW.xml""subject","code","link"
"Comparative and World Literature","CWL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/CWL.xml""subject","code","link"
"Dance","DANC","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/DANC.xml""subject","code","link"
"East Asian Language and Culture","EALC","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/EALC.xml""subject","code","link"
"Electrical and Computer Engineering","ECE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ECE.xml""subject","code","link"
"Economics","ECON","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ECON.xml""subject","code","link"
"Educational Practice","EDPR","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/EDPR.xml""subject","code","link"
"Education","EDUC","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/EDUC.xml""subject","code","link"
"English as an International Language","EIL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/EIL.xml""subject","code","link"
"Engineering","ENG","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ENG.xml""subject","code","link"
"Engineering Honors","ENGH","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ENGH.xml""subject","code","link"
"English","ENGL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ENGL.xml""subject","code","link"
"Environmental Sustainability","ENSU","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ENSU.xml""subject","code","link"
"Entomology","ENT","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ENT.xml""subject","code","link"
"Environmental Studies","ENVS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ENVS.xml""subject","code","link"
"Educational Organization and Leadership","EOL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/EOL.xml""subject","code","link"
"Education Policy, Organization and Leadership","EPOL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/EPOL.xml""subject","code","link"
"Educational Policy Studies","EPS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/EPS.xml""subject","code","link"
"Educational Psychology","EPSY","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/EPSY.xml""subject","code","link"
"Earth, Society, and Environment","ESE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ESE.xml""subject","code","link"
"English as a Second Language","ESL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ESL.xml""subject","code","link"
"European Union Studies","EURO","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/EURO.xml""subject","code","link"
"Fine and Applied Arts","FAA","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/FAA.xml""subject","code","link"
"Finance","FIN","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/FIN.xml""subject","code","link"
"Foreign Language Teacher Education","FLTE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/FLTE.xml""subject","code","link"
"French","FR","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/FR.xml""subject","code","link"
"Food Science and Human Nutrition","FSHN","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/FSHN.xml""subject","code","link"
"Graduate College","GC","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GC.xml""subject","code","link"
"Grand Challenge Learning","GCL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GCL.xml""subject","code","link"
"Geography","GEOG","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GEOG.xml""subject","code","link"
"Geology","GEOL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GEOL.xml""subject","code","link"
"German","GER","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GER.xml""subject","code","link"
"Global Studies","GLBL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GLBL.xml""subject","code","link"
"Germanic","GMC","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GMC.xml""subject","code","link"
"Greek","GRK","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GRK.xml""subject","code","link"
"Modern Greek","GRKM","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GRKM.xml""subject","code","link"
"General Studies","GS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GS.xml""subject","code","link"
"Gender and Women's Studies","GWS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/GWS.xml""subject","code","link"
"Human Development and Family Studies","HDFS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/HDFS.xml""subject","code","link"
"Hebrew, Modern and Classical","HEBR","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/HEBR.xml""subject","code","link"
"History","HIST","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/HIST.xml""subject","code","link"
"Hindi","HNDI","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/HNDI.xml""subject","code","link"
"Horticulture","HORT","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/HORT.xml""subject","code","link"
"Human Resource Development","HRD","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/HRD.xml""subject","code","link"
"Humanities Courses","HUM","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/HUM.xml""subject","code","link"
"Integrative Biology","IB","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/IB.xml""subject","code","link"
"Industrial Engineering","IE","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/IE.xml""subject","code","link"
"Interdisciplinary Health Sciences","IHLT","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/IHLT.xml""subject","code","link"
"Informatics","INFO","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/INFO.xml""subject","code","link"
"Information Sciences","IS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/IS.xml""subject","code","link"
"Italian","ITAL","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/ITAL.xml""subject","code","link"
"Japanese","JAPN","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/JAPN.xml""subject","code","link"
"Journalism","JOUR","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/JOUR.xml""subject","code","link"
"Jewish Studies","JS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/JS.xml""subject","code","link"
"Kinesiology","KIN","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/KIN.xml""subject","code","link"
"Korean","KOR","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/KOR.xml""subject","code","link"
"Landscape Architecture","LA","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/LA.xml""subject","code","link"
"Liberal Arts and Sciences","LAS","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/LAS.xml""subject","code","link"
"Latin American and Caribbean Studies","LAST","https://courses.illinois.edu/cisapp/explorer/catalog/2019/spring/LAST.xml""subject","code","link"
